Tool Name,Subworkflow,Description,GitHub Link,Citation Link,nf-core Module Link,Notes
NanoPlot,Pre-processing,QC plotting suite for long-read sequencing data and alignments,https://github.com/wdecoster/NanoPlot,https://academic.oup.com/bioinformatics/article/39/5/btad311/7160911?login=true,https://github.com/nf-core/modules/tree/master/modules/nf-core/nanoplot,For QC on the raw files / final reads after filtering
hostile,Pre-processing,A tool for filtering reads that align to a host genome,https://github.com/bede/hostile,https://doi.org/10.1093/bioinformatics/btad728,https://github.com/nf-core/modules/tree/master/modules/nf-core/hostile,Removes host contamination from microbial metagenomes
chopper,Pre-processing,A tool to filter nanopore sequencing reads by quality and length,https://github.com/wdecoster/chopper,https://doi.org/10.1093/bioinformatics/bty149,https://github.com/nf-core/modules/tree/master/modules/nf-core/chopper,Use to filter out low quality and short reads
Emu,Taxonomic profiling,Taxonomic classification and abundance estimation of 16S rRNA reads for long-read data,https://github.com/treangenlab/emu,https://www.nature.com/articles/s41592-022-01520-4,,https://github.com/genomic-medicine-sweden/gms_16S
Lemur,Taxonomic profiling,Rapid and accurate taxonomic profiling on long-read metagenomic datasets,https://github.com/treangenlab/lemur,https://www.biorxiv.org/content/10.1101/2024.06.01.596961v2.full,,
MAGnet,Taxonomic profiling,Refines taxonomic profiles for accuracy using reference genome mapping,https://github.com/treangenlab/magnet,https://www.biorxiv.org/content/10.1101/2024.06.01.596961v2.full,,
Sylph,Taxonomic profiling,Rapid and accurate species level taxonomic profiling using k-mer sketches,https://github.com/bluenote-1577/sylph,https://www.nature.com/articles/s41587-024-02412-y,,
taxburst,Taxonomic profiling ; Reporting,Visualization,Interactive visualization of taxonomic profiles,https://github.com/taxburst/taxburst,https://doi.org/10.1093/bioinformatics/btab041,,Web-based visualization tool
Flye,Assembly,De novo assembler for single-molecule sequencing reads using repeat graphs,https://github.com/fenderglass/Flye,https://doi.org/10.1038/s41592-020-00971-x,https://github.com/nf-core/modules/tree/master/modules/nf-core/flye,For PacBio and Oxford Nanopore
minimap2,Assembly,(pairwise) Alignment of assemblies to reference genomes,https://github.com/lh3/minimap2,doi:10.1093/bioinformatics/bty191,,
samtools,Assembly,Alignment of assemblies to reference genomes,https://github.com/samtools/samtools,https://doi.org/10.1093/gigascience/giab008,,
SemiBin2,Assembly,Metagenomic binning with semi-supervised deep learning,https://github.com/BigDataBiology/SemiBin,https://doi.org/10.1038/s41587-023-01679-9,,Improved binning accuracy
CheckM2,Assembly,Metagenome bin quality assessment,https://github.com/chklovski/CheckM2,https://www.nature.com/articles/s41592-023-01940-w,,Fast and accurate bin quality assessment
SingleM pipe,Assembly ; Taxonomic profiling,Profiles microbial communities using marker genes,https://github.com/wwood/singlem,https://www.nature.com/articles/s41467-022-32813-z,,Uses universal marker genes
bakta,Assembly,Rapid and accurate annotation of bacterial genomes and plasmids,https://github.com/oschwengers/bakta,https://doi.org/10.1099/mgen.0.000685,,Comprehensive annotation pipeline
SingleM appraise,Assembly,Assesses and compares metagenomic samples,https://github.com/wwood/singlem,https://www.nature.com/articles/s41467-022-32813-z,,Part of the SingleM suite
rhea,genome dynamics,Detects structural variants and HGT between temporally evolving microbial metagenomic samples,https://github.com/treangenlab/rhea,https://academic.oup.com/bioinformatics/article/40/Supplement_1/i58/7700881,,
MetagenomeScope,Assembly,Visualization,Visualization and analysis of metagenome-assembled genomes,https://github.com/marbl/MetagenomeScope,https://doi.org/10.1186/s12859-019-2986-z,,Interactive visualization of MAGs
SeqScreen,Functional annotation,Functional screening of pathogenic sequences in metagenomic data,https://gitlab.com/treangenlab/seqscreen,https://link.springer.com/article/10.1186/s13059-022-02695-x,https://gitlab.com/treangenlab/seqscreen/-/tree/to-dsl2?ref_type=heads,Includes antibiotic resistance genes
multiqc,Reporting,Aggregates and visualizes results from multiple tools,https://github.com/multiqc/multiqc,https://doi.org/10.1093/bioinformatics/btw354,,
